idLU,idLemma,idFrame,frameName,name,annotationset_count,annotation_number
20708,483,524,Pessoas_por_vocação,polícia,0,0
20730,572,524,Pessoas_por_vocação,técnico,0,0
20410,912,524,Pessoas_por_vocação,dentista,0,0
20393,6874,524,Pessoas_por_vocação,artista,0,0
20423,6903,524,Pessoas_por_vocação,fotógrafo,0,0
27950,9062,524,Pessoas_por_vocação,piloto,0,0
25641,9543,524,Pessoas_por_vocação,pastor,0,0
25580,9773,524,Pessoas_por_vocação,contador,0,0
25585,9780,524,Pessoas_por_vocação,delegado,0,0
25608,9782,524,Pessoas_por_vocação,historiador,0,0
27945,10616,524,Pessoas_por_vocação,taxista,0,0
27934,10689,524,Pessoas_por_vocação,astrólogo,0,0
27933,10742,524,Pessoas_por_vocação,socorrista,0,0
27944,10782,524,Pessoas_por_vocação,soldado,0,0
27940,10812,524,Pessoas_por_vocação,ministro,0,0
27943,10833,524,Pessoas_por_vocação,poeta,0,0
28013,14251,524,Pessoas_por_vocação,astronauta,0,0
27977,14490,524,Pessoas_por_vocação,autor,0,0
27942,37085,524,Pessoas_por_vocação,pirata,0,0
27939,37090,524,Pessoas_por_vocação,explorador,0,0
50393,59314,524,Pessoas_por_vocação,agricultor,0,0
27037,120715,527,Influência_subjetiva,influenciar,0,0
27040,120716,527,Influência_subjetiva,inspirar,0,0
50456,9390,535,Origem,árabe,0,0
43730,23315,535,Origem,gaúcho,0,0
40684,131879,544,Usar,mexer,0,0
43130,7402,549,Números_ordinais,segundo,0,0
43132,8815,549,Números_ordinais,quinto,0,0
50495,147176,550,Informação_atribuída,"de acordo com",0,0
29219,120771,554,Inclusão,envolver,0,0
50516,10827,558,Ser_necessário,essencial,0,0
26110,6566,567,Sofrer_mudança,transição,0,0
44210,63148,572,Relação_de_perfilamento_interior,fora,0,0
50531,139821,572,Relação_de_perfilamento_interior,dentro,0,0
40665,32644,594,Rotular,rotulagem,0,0
27046,6713,609,Tomar_partido,contra,0,0
50568,6715,609,Tomar_partido,"a favor",0,0
27056,117208,610,Atravessar,saltar,0,0
27053,117352,610,Atravessar,cruzar,0,0
50595,8060,615,Estágio_de_progresso,"próxima geração",0,0
44272,86176,618,Campos,multicultural,0,0
21436,1235,621,Ingredientes,chocolate,0,0
