idFrameElement,idEntity,frameName,feName,property_name,related_class,quantifier,cardinality,match_count
14362,2747662,"Physical object",Classification,is_classified_by,Role,only,,1
14358,2747658,"Physical object",Constitution,has_constituent,Object,only,,1
14359,2747659,"Physical object",Location,has_location,Entity,some,,1
14360,2747660,"Physical object",Parthood,has_part,Object,only,,1
14361,2747661,"Physical object",Parthood,has_part,Object,only,,1
14363,2747663,"Physical object",Participation,is_participant_in,Event,some,,1
14368,2747668,"Physical place",Classification,is_classified_by,Role,only,,1
14364,2747664,"Physical place",Constitution,has_constituent,Object,only,,1
14365,2747665,"Physical place",Location,has_location,Entity,some,,1
14366,2747666,"Physical place",Parthood,has_part,Object,only,,1
14367,2747667,"Physical place",Parthood,has_part,Object,only,,1
14369,2747669,"Physical place",Participation,is_participant_in,Event,some,,1
14374,2747674,Place,Classification,is_classified_by,Role,only,,1
14370,2747670,Place,Constitution,has_constituent,Object,only,,1
14375,2747675,Place,Expression,is_expressed_by,InformationObject,some,,1
14371,2747671,Place,Location,has_location,Entity,some,,1
14376,2747676,Place,Location,has_location,Entity,some,,1
14372,2747672,Place,Parthood,has_part,Object,only,,1
14373,2747673,Place,Parthood,has_part,Object,only,,1
14377,2747677,Place,Participation,is_participant_in,Event,some,,1
14383,2747683,Plan,Classification,is_classified_by,Role,only,,1
14378,2747678,Plan,Composition,has_component,Goal,some,,1
14379,2747679,Plan,Constitution,has_constituent,Object,only,,1
14384,2747684,Plan,Expression,is_expressed_by,InformationObject,some,,1
14380,2747680,Plan,Location,has_location,Entity,some,,1
14381,2747681,Plan,Parthood,has_part,Object,only,,1
14382,2747682,Plan,Parthood,has_part,Object,only,,1
14385,2747685,Plan,Participation,is_participant_in,Event,some,,1
14386,2747686,"Plan execution",Satisfaction,satisfies,Plan,some,,1
14387,2747687,"Plan execution",Satisfaction,satisfies,Plan,some,,1
14388,2747688,Process,Constitution,has_constituent,Event,only,,1
14389,2747689,Process,Parthood,has_part,Event,only,,1
14390,2747690,Process,Participation,has_participant,Object,some,,1
14391,2747691,Process,Temporal_interval,has_time_interval,TimeInterval,some,,1
14399,2747699,Project,Classification,is_classified_by,Role,only,,1
14394,2747694,Project,Composition,has_component,Goal,some,,1
14395,2747695,Project,Constitution,has_constituent,Object,only,,1
14400,2747700,Project,Expression,is_expressed_by,InformationObject,some,,1
14396,2747696,Project,Location,has_location,Entity,some,,1
14397,2747697,Project,Parthood,has_part,Object,only,,1
14398,2747698,Project,Parthood,has_part,Object,only,,1
14401,2747701,Project,Participation,is_participant_in,Event,some,,1
14392,2747692,Project,Role_definition,defines_role,Role,some,,1
14393,2747693,Project,Task_definition,defines_task,Task,some,,1
14402,2747702,Quality,Constitution,has_constituent,Quality,only,,1
14403,2747703,Quality,Parthood,has_part,Quality,only,,1
14405,2747705,Quality,Quale,is_quality_of,Entity,some,,1
14404,2747704,Quality,Region,has_region,Region,some,,1
14406,2747706,Region,Constitution,has_constituent,Region,only,,1
14408,2747708,Region,Overlap,overlaps,Region,only,,1
14407,2747707,Region,Parthood,has_part,Region,only,,1
14409,2747709,Region,Sequence,precedes,Region,only,,1
14414,2747714,Relation,Classification,is_classified_by,Role,only,,1
14410,2747710,Relation,Constitution,has_constituent,Object,only,,1
14415,2747715,Relation,Expression,is_expressed_by,InformationObject,some,,1
14411,2747711,Relation,Location,has_location,Entity,some,,1
14412,2747712,Relation,Parthood,has_part,Object,only,,1
14413,2747713,Relation,Parthood,has_part,Object,only,,1
14416,2747716,Relation,Participation,is_participant_in,Event,some,,1
14423,2747723,Right,Classification,is_classified_by,Role,only,,1
14419,2747719,Right,Constitution,has_constituent,Object,only,,1
14424,2747724,Right,Expression,is_expressed_by,InformationObject,some,,1
14420,2747720,Right,Location,has_location,Entity,some,,1
14421,2747721,Right,Parthood,has_part,Object,only,,1
14422,2747722,Right,Parthood,has_part,Object,only,,1
14425,2747725,Right,Participation,is_participant_in,Event,some,,1
14417,2747717,Right,Role_definition,defines_role,Person,min,2,1
14418,2747718,Right,Task_definition,defines_task,Task,min,1,1
14426,2747726,Role,Classification,classifies,Object,only,,1
14433,2747733,Role,Classification,classifies,Object,only,,1
14427,2747727,Role,Constitution,has_constituent,Object,only,,1
14434,2747734,Role,Definition,is_defined_in,Description,some,,1
14435,2747735,Role,Expression,is_expressed_by,InformationObject,some,,1
14428,2747728,Role,Location,has_location,Entity,some,,1
14429,2747729,Role,Parthood,has_part,Object,only,,1
14430,2747730,Role,Parthood,has_part,Object,only,,1
14431,2747731,Role,Parthood,has_part,Object,only,,1
14432,2747732,Role,Parthood,has_part,Object,only,,1
14436,2747736,Role,Participation,is_participant_in,Event,some,,1
14437,2747737,Situation,Satisfaction,satisfies,Description,some,,1
14443,2747743,"Social agent",Classification,is_classified_by,Role,only,,1
14439,2747739,"Social agent",Constitution,has_constituent,Object,only,,1
14444,2747744,"Social agent",Expression,is_expressed_by,InformationObject,some,,1
14440,2747740,"Social agent",Location,has_location,Entity,some,,1
14441,2747741,"Social agent",Parthood,has_part,Object,only,,1
14442,2747742,"Social agent",Parthood,has_part,Object,only,,1
14445,2747745,"Social agent",Participation,is_participant_in,Event,some,,1
14438,2747738,"Social agent",Proxy_agency,acts_through,PhysicalAgent,some,,1
14453,2747753,"Social attribute",Constitution,has_constituent,Region,,,0
14456,2747756,"Social attribute",Overlap,overlaps,Region,,,0
14454,2747754,"Social attribute",Parthood,has_part,Region,,,0
14455,2747755,"Social attribute",Region,is_region_for,Social object,,,0
14457,2747757,"Social attribute",Sequence,precedes,Region,,,0
14450,2747750,"Social object",Classification,is_classified_by,Role,only,,1
14446,2747746,"Social object",Constitution,has_constituent,Object,only,,1
14451,2747751,"Social object",Expression,is_expressed_by,InformationObject,some,,1
14447,2747747,"Social object",Location,has_location,Entity,some,,1
14448,2747748,"Social object",Parthood,has_part,Object,only,,1
14449,2747749,"Social object",Parthood,has_part,Object,only,,1
14452,2747752,"Social object",Participation,is_participant_in,Event,some,,1
14463,2747763,"Social person",Classification,is_classified_by,Role,only,,1
14459,2747759,"Social person",Constitution,has_constituent,Object,only,,1
14464,2747764,"Social person",Expression,is_expressed_by,InformationObject,some,,1
14460,2747760,"Social person",Location,has_location,Entity,some,,1
14461,2747761,"Social person",Parthood,has_part,Object,only,,1
14462,2747762,"Social person",Parthood,has_part,Object,only,,1
14465,2747765,"Social person",Participation,is_participant_in,Event,some,,1
14458,2747758,"Social person",Proxy_agency,acts_through,PhysicalAgent,some,,1
14470,2747770,"Social relation",Classification,is_classified_by,Role,only,,1
14466,2747766,"Social relation",Constitution,has_constituent,Object,only,,1
14471,2747771,"Social relation",Expression,is_expressed_by,InformationObject,some,,1
14467,2747767,"Social relation",Location,has_location,Entity,some,,1
14468,2747768,"Social relation",Parthood,has_part,Object,only,,1
14469,2747769,"Social relation",Parthood,has_part,Object,only,,1
14472,2747772,"Social relation",Participation,is_participant_in,Event,some,,1
14473,2747773,"Space region",Constitution,has_constituent,Region,only,,1
14475,2747775,"Space region",Overlap,overlaps,Region,only,,1
14474,2747774,"Space region",Parthood,has_part,Region,only,,1
14476,2747776,"Space region",Sequence,precedes,Region,only,,1
14477,2747777,SpatioTemporalRegion,Constitution,has_constituent,Region,only,,1
